id_movimiento,id_miembro,fecha,minuto,hora,importe,comercio,actividad_completa,actividad
16703,20,2004-05-02,40,15,12,25,FNAC CALLAO,FNAC,LIBRERIA
25565,31,2003-08-07,36,15,60,65,JARDINERIA POSTIGO SL,FLORES Y PLANTAS,HOGAR
64454,61,2007-11-13,16,16,175,RESTAURANTE VIRIDIANA,RESTAURANTES RESTO,RESTAURANTE
14289,16,2008-07-22,33,15,44,EL RINCON DE JAEN,RESTAURANTES RESTO,RESTAURANTE
17812,21,2008-03-11,55,16,124,66,BOCALEON IBERICA SL,RESTAURANTES RESTO,RESTAURANTE
8139,6,2003-04-21,35,16,57,22,99 SUSHI BAR SL,RESTAURANTES RESTO,RESTAURANTE
42123,65,2005-08-07,19,14,37,04,DECATHLON MAJADAHONDA,DECATHLON,ROPA
52413,77,2010-01-21,32,13,135,SUMINISTROS MORENO,FERRETERIA,BRICOLAJE,MENAJE DEL HOGAR,HOGAR
4126,4,2007-06-28,53,13,6,23,FARMACIA M ROSARIO PRIETO,FARMACIAS,SALUD
43166,65,2009-03-06,59,11,45,09,SHELL VILLANUEVA,GASOLINERAS,COCHE
56671,80,2009-06-18,7,15,32,5,CAFETERIA RESTAURANTE PAV,RESTAURANTES RESTO,RESTAURANTE
7313,5,2008-04-29,21,13,182,69,JAIME SORIANO S A,SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS,SUPERMERCADO
11473,69,2004-01-07,5,16,17,79,ESTAC. SERV. FLORENTINO MON,GASOLINERAS,COCHE
4755,4,2008-10-01,38,15,78,08,SPOR NURIA,DUTY FREE STORES,DUTYFREE
41286,64,2011-10-23,38,8,7,APARCAMIENTO MONTALBAN,GARAJES,RESTO DE APARCAMIENTOS,COCHE
36209,48,2007-05-22,22,17,195,58,RESTAURANTE LA PALOMA,RESTAURANTES RESTO,RESTAURANTE
49884,73,2007-11-04,23,11,300,MANUEL GOMEZ,ZAPATERIAS,ROPA
64233,61,2007-01-02,16,18,221,3,,RESTAURANTES RESTO,RESTAURANTE
74923,75,2010-07-14,52,16,65,ENTRADAS.COM,ESPECTACULOS Y DEPORTES,SALIDAS
72434,72,2004-06-15,9,14,76,8,RENFE 001,R.E.N.F.E.,TREN
81,1,2003-08-12,10,15,122,THE SUITES HOTEL,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
70575,9,2005-08-09,47,15,100,02,,CONFECCION TEXTIL EN GENERAL,ROPA
27461,34,2011-11-26,15,16,129,82,ASADOR EL PARQUE,RESTAURANTES RESTO,RESTAURANTE
19047,23,2007-08-13,30,14,6,3,AUTOPISTA CONCES.ASTUR-LEONESA,AUTOPISTAS (TERMINALES),COCHE
60595,28,2003-08-13,37,15,89,25,,GROCERY STORES, SUPERMARKETS,SUPERMERCADO
76121,13,2003-03-03,35,16,300,,CAJEROS AUTOMATICOS,CA$H
19639,23,2010-03-17,48,16,104,EL LUARQUES,RESTAURANTES RESTO,RESTAURANTE
42713,65,2007-09-06,7,21,47,5,MAJADAHONDA,RETAIL OPERATING COMPANY,COCHE
54521,80,2003-03-10,34,15,35,E.S.LOPEZ HNOS. S.A.,C.A.M.P.S.A.,COCHE
37713,56,2006-04-17,4,15,137,5,EL BALCON,RESTAURANTES RESTO,RESTAURANTE
62903,28,2011-08-24,13,16,20,HERON GOLF,S.L.PROSHOP CLUB DE,JUGUETES, ARTICULOS DEPORTIVOS,COMPRA BIENES
63032,28,2012-03-13,48,12,225,ARMERIA ALVAREZ SL,JUGUETES, ARTICULOS DEPORTIVOS,COMPRA BIENES
374,1,2005-11-07,11,17,108,93,LAS CUATRO ESTACIONES,RESTAURANTES RESTO,RESTAURANTE
72701,72,2006-01-31,15,20,500,,CAJEROS AUTOMATICOS,CA$H
62144,28,2008-11-19,48,15,6593,2,VIAJES ECI,EL CORTE INGLES,COMPRA BIENES
74486,52,2007-03-16,24,15,145,16,,SPANAIR,AVION
7536,5,2009-05-19,0,15,44,EUROSTARS MADRID TOWER,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
36136,48,2007-01-14,13,14,100,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
7305,5,2008-04-13,10,20,44,95,GAME GROUP,ELECTRODOMESTICOS,EQUIPOS ELECTRICOS,HOGAR
14630,17,2007-05-07,36,15,44,RESTAURANTE AYMARA,RESTAURANTES RESTO,RESTAURANTE
6679,5,2005-08-08,18,16,69,81,RESTAURANT TRATTORIA LA CLOTA,RESTAURANTES RESTO,RESTAURANTE
43755,65,2010-11-23,33,1,78,5,VELVET,RESTAURANTES RESTO,RESTAURANTE
56698,80,2009-07-09,33,18,53,29,FUENTE HELECHA GASOLINERA,GASOLINERAS,COCHE
28255,35,2008-08-19,11,16,600,,CAJEROS AUTOMATICOS,CA$H
39565,60,2009-10-02,51,19,12,1,TAXI DE MADRID 1401,TAXIS,COCHE
12503,15,2006-08-27,4,12,44,52,CEPSA 17772 COLUNGA MAR,GASOLINERAS,COCHE
7966,5,2011-06-14,56,19,79,22,HOTEL URBAN,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
47796,68,2005-10-28,15,14,13,8,ENTRADAS.COM,ESPECTACULOS Y DEPORTES,SALIDAS
30577,40,2006-12-14,13,0,78,5,EL CAPRICHO,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
68848,50,2008-02-14,19,15,32,95,RTE TIENDA AREA BOCEGUILLA,RESTAURANTES RESTO,RESTAURANTE
43371,65,2009-10-03,53,13,52,4,ICR RUBIO   CC LA PASADA,LIBRERIAS, PAPELERIAS Y DISCOS,LIBRERIA
7173,5,2007-10-28,21,17,16,98,HOTEL URBAN,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
71682,10,2004-05-13,25,15,24,IBERIA,LINEAS AEREAS,AVION
6792,5,2006-02-16,23,15,2,54,APARCAMIENTO CORTES,GARAJES,RESTO DE APARCAMIENTOS,COCHE
45456,66,2009-06-25,2,9,54,59,E.S. SANTA ENGRACIA,CEPSA,COCHE
43938,65,2011-05-10,19,13,62,25,ABIGAIL PELUQUEROS,PELUQUERIAS,INSTITUTOS DE BELLEZA Y GIMN,ESTETICA
54312,78,2009-09-24,46,8,53,E.S. LAS ROZAS MARKOIL,GASOLINERAS,COCHE
40328,64,2004-02-09,43,15,43,09,E.S. TRES CANTOS MARKOIL,GASOLINERAS,COCHE
37755,56,2006-11-08,49,15,151,64,,RESTAURANTES RESTO,RESTAURANTE
48194,71,2003-05-12,31,16,80,CALZADOS JOTAEFE S.L.,ZAPATERIAS,ROPA
41857,65,2004-09-27,46,12,4,4,BAR ZURBANO 10,CAFETERIAS,SNACKS,RESTAURANTE
61492,28,2006-08-16,0,11,19,4,CAPRABO 5624 OLIVA,CAPRABO,SUPERMERCADO
16488,19,2006-07-08,52,15,158,89,RESTAURANTE PERLANBLACA,RESTAURANTES RESTO,RESTAURANTE
28101,35,2007-07-17,11,16,141,3,FONDA LA GENARA,RESTAURANTES RESTO,RESTAURANTE
31181,40,2008-12-12,38,20,59,9,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
19946,24,2007-03-04,31,23,66,76,ENTRETAPAS Y VINOS-CASTEL,RESTAURANTES RESTO,RESTAURANTE
21147,26,2007-07-18,57,9,393,VIAJES ALTURA,AGENCIAS DE VIAJES,VIAJE
70881,9,2007-07-16,20,15,115,65,,SHERATON (SHERATON HOTELS),HOTEL
1279,1,2010-02-25,27,15,1,75,AUTOPISTA DEL SOL,AUTOPISTAS (TERMINALES),COCHE
71856,10,2005-04-14,33,15,4,94,AUTOPISTA MADRID SUR R4,AUTOPISTAS (TERMINALES),COCHE
5114,4,2009-06-22,11,17,6,SOL DE MAR,PELUQUERIAS,INSTITUTOS DE BELLEZA Y GIMN,ESTETICA
55600,80,2006-07-09,51,16,149,05,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
22693,29,2004-12-03,15,20,127,NENANE, S.L.,CONFECCION TEXTIL EN GENERAL,ROPA
32664,44,2005-02-14,18,15,51,LA ATALAYA M.I.,C.A.M.P.S.A.,COCHE
58376,82,2010-05-30,29,16,114,68,CASTELLANA 179,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
33478,44,2009-05-29,24,14,60,REST. EL JARDIN,RESTAURANTES RESTO,RESTAURANTE
69064,50,2009-03-29,24,17,180,19,RESTAURANTE ALDABA,RESTAURANTES RESTO,RESTAURANTE
5464,4,2010-02-08,24,15,4,05,APARCAMIENTO GRAL.SIERRA,GARAJES Y APARCAMIENTOS,COCHE
66165,59,2007-05-20,25,15,35,SUPLIDOS EMISION BILLETE,LINEAS AEREAS,AVION
70967,9,2008-05-15,32,12,115,FACTORY MUEBLES,MUEBLES,ANTIGUEDADES Y GALERIAS DE ARTE,HOGAR
72400,72,2004-03-22,6,14,153,6,RENFE 001,R.E.N.F.E.,TREN
59814,54,2008-12-27,11,15,79,8,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
57075,80,2010-06-06,1,15,35,5,LA TABERNA DE CHANA,CAFETERIAS,SNACKS,RESTAURANTE
38860,60,2007-07-23,42,9,8,19,TAXI DE MADRID 2153,TAXIS,COCHE
