id_movimiento,id_miembro,fecha,minuto,hora,importe,comercio,actividad_completa,actividad
28471,35,2010-05-23,28,16,172,27,CASTELLANA 179,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
46556,67,2008-09-21,14,19,100,09,REST EL ESPIGON,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
18254,23,2004-04-30,40,16,104,54,FUEGIA, S.L.,RESTAURANTES RESTO,RESTAURANTE
30411,40,2006-05-18,2,18,52,NISA (H 24) GESA ALCORCON S.L.,GASOLINERAS,COCHE
39237,60,2008-07-23,29,16,84,8,NAGUROSAKE,RESTAURANTES RESTO,RESTAURANTE
22032,27,2003-08-11,31,15,330,63,HOTEL RITZ,HOTELES 4/5 ESTR NIVEL3,HOTEL
57690,80,2011-11-01,29,19,36,SURTIDOR FUENTE CARRANTONA,C.A.M.P.S.A.,COCHE
506,1,2006-12-04,52,15,49,9,EL CORTE INGLES S.A.,EL CORTE INGLES,COMPRA BIENES
55627,80,2006-08-10,16,16,31,79,RESTAURANTE LAS B B B,RESTAURANTES RESTO,RESTAURANTE
22956,29,2005-12-25,48,14,120,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
10510,8,2011-02-03,48,18,157,BRITCHES,CONFECCION TEXTIL EN GENERAL,ROPA
8332,6,2004-03-29,53,15,57,34,RESTAURANTE NODO,RESTAURANTES RESTO,RESTAURANTE
12716,15,2007-04-21,10,12,38,75,E.S.VEGONES DER,C.A.M.P.S.A.,COCHE
20744,26,2005-01-06,18,15,68,5,E.S.ALFAMBRA,  S.A.,GASOLINERAS,COCHE
56726,80,2009-08-06,17,16,98,19,RESTURANTE LA VASCA,RESTAURANTES RESTO,RESTAURANTE
59453,54,2007-04-30,47,14,160,3,DUFRY ISLAS CANARIAS, S.L.,BAZARES, OBJETOS REGALO Y SOUVENIRS,REGALOS
37682,56,2005-09-19,43,17,152,16,,RESTAURANTES RESTO,RESTAURANTE
73164,72,2009-04-06,49,0,41,29,ESPASA CALPE-CASA DEL LIBRO,LIBRERIAS, PAPELERIAS Y DISCOS,LIBRERIA
16339,19,2005-10-05,1,10,500,,CAJEROS AUTOMATICOS,CA$H
41022,64,2010-06-01,21,20,63,29,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
38313,58,2010-07-13,37,15,170,47,,EASYJET,AVION
27662,35,2004-03-11,34,15,136,91,RESTAURANTE SOLCHAGA,RESTAURANTES RESTO,RESTAURANTE
66624,59,2011-05-14,0,16,387,29,HOTEL CASA FUSTER,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
63882,61,2005-08-01,0,17,282,6,,RESTAURANTES RESTO,RESTAURANTE
12649,15,2007-02-03,17,12,40,2,E.S.VEGONES DER,C.A.M.P.S.A.,COCHE
50029,73,2008-02-10,46,15,18,2,REST. DON PELAYO,RESTAURANTES RESTO,RESTAURANTE
22056,27,2003-11-11,9,11,125,GRA.ALMAC.FNAC ESPA#A S.A,FNAC,LIBRERIA
61494,28,2006-08-18,30,20,59,7,0143-CONSUM VERGEL,CONSUM,SUPERMERCADO
75238,57,2003-08-21,46,15,40,29,,BAZARES, OBJETOS REGALO Y SOUVENIRS,REGALOS
8039,5,2011-11-09,38,15,2,09,APARCAMIENTO CORTES,GARAJES Y APARCAMIENTOS,COCHE
56702,80,2009-07-14,40,19,208,94,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
66438,59,2009-08-21,58,16,114,93,CLUB DE GOLF NOVO SANCTI PETRI,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
14503,17,2006-08-01,13,17,760,88,REST. EL POBLET,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
52439,77,2010-02-08,17,12,55,56,E.S. C T M,C.A.M.P.S.A.,COCHE
13564,15,2010-05-22,43,12,39,4,E.S.VEGONES DER,C.A.M.P.S.A.,COCHE
70888,9,2007-08-02,31,15,354,32,IBERIA,IBERIA,AVION
14781,17,2008-07-27,51,15,14,96,,STATIONERY,OFFICE SUPPLIES, PRINTING,BUSINESS
41375,65,2003-03-21,21,13,166,LOLA REY ZAPATERIAS 5,ZAPATERIAS,ROPA
49518,73,2006-12-01,5,11,75,75,PESCADERIAS FIURPESCA,SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS,SUPERMERCADO
62727,28,2011-03-04,56,9,16,46,FARMACIA AMALIA GIMENO RO,FARMACIAS,SALUD
27468,34,2011-12-08,46,19,91,34,ASIA GALLERY,RESTAURANTES RESTO,RESTAURANTE
19455,23,2009-05-12,23,15,15,14,APARCAMIENTO MAYOR,GARAJES Y APARCAMIENTOS,COCHE
72332,72,2003-10-20,11,14,54,5,RENFE 001,R.E.N.F.E.,TREN
4425,4,2008-01-24,53,23,12,89,EL CORTE INGLES,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
7326,5,2008-05-15,17,17,199,58,RTE MARISQUERIA EL BARRIL,RESTAURANTES RESTO,RESTAURANTE
72964,72,2008-01-16,4,19,10,VIAJES ECI,EL CORTE INGLES,COMPRA BIENES
70411,9,2004-02-23,9,16,2000,RESTAURANTE LA QUINTANA,RESTAURANTES RESTO,RESTAURANTE
24384,30,2006-12-12,50,16,4,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
66586,59,2011-01-07,48,21,73,48,TAO MORALEJA,RESTAURANTES RESTO,RESTAURANTE
21327,26,2008-07-25,32,12,98,JOSEMA PERFUMERIA,DROGUERIAS, PERFUMERIAS,ESTETICA
22573,29,2004-06-04,31,15,141,GIGANTE ESCORIAL,HIPERMERCADOS (TECNOLOGIA ELECTRONICA),SUPERMERCADO
55795,80,2007-02-14,33,14,16,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
36326,48,2008-01-09,8,23,167,66,SULA RESTAURACION S.L,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
28947,39,2007-09-30,52,14,37,79,IL SALOTTO,RESTAURANTES RESTO,RESTAURANTE
49307,73,2006-05-30,31,16,1,29,ACCESOS DE MADRID,AUTOPISTAS (TERMINALES),COCHE
51156,77,2004-04-04,0,15,1,6,ACCESOS DE MADRID,AUTOPISTAS (TERMINALES),COCHE
47854,68,2006-01-02,33,11,20,CEPSA BAJAMAR,GASOLINERAS,COCHE
62103,28,2008-09-07,20,16,20,C C GOLF PRO SHOP,JUGUETES, ARTICULOS DEPORTIVOS,COMPRA BIENES
25103,30,2010-05-03,17,13,15,THE LAB ROOM HOTEL,PELUQUERIAS,INSTITUTOS DE BELLEZA Y GIMN,ESTETICA
38626,60,2006-09-19,26,15,66,SUITE CAFE CLUB,RESTAURANTES RESTO,RESTAURANTE
19667,24,2003-03-26,41,16,78,26,REST. DON PELAYO,RESTAURANTES RESTO,RESTAURANTE
65563,74,2009-04-05,36,15,451,57,,CAJEROS AUTOMATICOS,CA$H
18393,23,2004-12-17,31,0,131,96,PARADIS MADRID,RESTAURANTES RESTO,RESTAURANTE
30328,40,2006-02-17,23,16,86,RISTORANTE LA SPEZZIA,RESTAURANTES RESTO,RESTAURANTE
2346,83,2007-06-27,2,21,36,EMBASSY  S A,CAFETERIAS,SNACKS,RESTAURANTE
26784,32,2011-08-12,42,18,114,66,GPV ALFONSO XIII,C.A.M.P.S.A.,COCHE
65081,74,2004-12-06,24,12,213,5,VIAJES TIKAL S.A.,AGENCIAS DE VIAJES,VIAJE
15036,17,2009-11-28,27,16,396,17,EL ACEBO DE BOADILLA,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
75602,79,2010-09-25,0,1,95,79,EL PARAGUAS,RESTAURANTES RESTO,RESTAURANTE
45837,66,2010-07-20,58,0,77,7,LEROY MERLIN ESPA#A SL,LEROY MERLIN,SUPERMERCADO
50788,73,2009-12-03,36,18,27,79,LAVINIA ESPANA SELECCION S.L.,SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS,SUPERMERCADO
17603,20,2008-10-14,55,16,191,75,RESTAURANTE BILBAINO,RESTAURANTES RESTO,RESTAURANTE
55305,80,2005-09-16,49,13,50,7,DERIVADOS DE LA NATURALEZA SA,VENTA A DIST.DE PRODUCTOS AL POR MENOR,COMPRA BIENES
4780,4,2008-10-21,20,15,1,14,APARCAMIENTO COLON,GARAJES Y APARCAMIENTOS,COCHE
11667,69,2005-03-06,52,15,119,45,MARIA CARMEN VELARDE APAR,BAZARES, OBJETOS REGALO Y SOUVENIRS,REGALOS
62140,28,2008-11-06,29,9,300,,AGENCIAS BANCARIAS(ANTICIPO VENTANILLA),BANCO
66779,55,2003-08-12,52,15,43,59,GAMBRINUS MIRASIERRA,CAFETERIAS,SNACKS,RESTAURANTE
27485,35,2003-01-31,45,16,155,1,RESTAURANTE ENTREREINAS SL,RESTAURANTES RESTO,RESTAURANTE
35916,49,2010-05-30,30,15,28,6,PINOCCHIO SANCHEZ BUSTILL,RESTAURANTES RESTO,RESTAURANTE
1014,1,2008-12-19,28,8,20,CLUB DE GOLF VALDERRAMA,JUGUETES, ARTICULOS DEPORTIVOS,COMPRA BIENES
28935,39,2007-09-09,15,16,120,LA COCINA DE MARIA LUISA,RESTAURANTES RESTO,RESTAURANTE
38475,58,2011-06-29,4,16,2,04,AUTOPISTA RADIAL R4,AUTOPISTAS (TERMINALES),COCHE
27560,35,2003-07-06,23,15,2,79,ACESA,ACESA,COCHE
10255,7,2010-10-16,13,15,110,,ZAPATERIAS,ROPA
22098,25,2005-04-28,54,9,109,13,HOTEL COLON,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
55975,80,2007-08-27,29,23,36,EL RINCON DE TERESA,BAZARES, OBJETOS REGALO Y SOUVENIRS,REGALOS
1286,1,2010-03-05,20,15,67,69,RUMOURS CAFE ESPACIO GASTRONOM,CAFETERIAS,SNACKS,RESTAURANTE
14784,17,2008-07-28,20,15,36,29,,RESTAURANTES RESTO,RESTAURANTE
10205,7,2010-04-23,45,17,104,69,BENETTON HABANA UCB,CONFECCION TEXTIL EN GENERAL,ROPA
60870,28,2004-06-28,30,15,12,39,ENTRADAS.COM,ESPECTACULOS Y DEPORTES,SALIDAS
73167,72,2009-04-15,35,15,182,39,,EUROPCAR,COCHE
34355,42,2005-11-27,28,15,44,15,E.S. CALDAS DE LUNA,GASOLINERAS,COCHE
72927,72,2007-10-25,8,16,12,SUPLIDOS EMISION BILLETE,LINEAS AEREAS,AVION
48691,73,2004-06-30,53,16,44,59,BAR LA CASTELA - RESTAURA,RESTAURANTES RESTO,RESTAURANTE
16113,19,2004-07-15,25,11,90,ALSA-ENATCAR,FERROCARRILES DE CERCANIAS Y AUTOBUSES U,TREN
16623,20,2004-01-18,48,15,39,43,FNAC CALLAO,FNAC,LIBRERIA
53974,78,2008-04-30,43,14,125,59,MESON DE MURCIA S.L.,RESTAURANTES RESTO,RESTAURANTE
60267,54,2011-04-23,18,13,99,01,E.S. JACINTO,C.A.M.P.S.A.,COCHE
34837,47,2010-03-30,13,20,349,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
70120,11,2009-09-12,47,9,19,79,FESTIVAL INTERNACIONAL DE CINE,ESPECTACULOS Y DEPORTES,SALIDAS
27346,34,2011-02-17,25,16,141,RESTAURANTE MIKADO,RESTAURANTES RESTO,RESTAURANTE
75963,37,2003-04-23,46,15,74,5,,RESTAURANTES RESTO,RESTAURANTE
4725,4,2008-08-08,25,11,41,11,HIPER CENTRO,HIPERMERCADOS (TECNOLOGIA ELECTRONICA),SUPERMERCADO
75362,57,2004-06-14,58,15,135,YANKO,ZAPATERIAS,ROPA
45430,66,2009-05-14,55,13,50,47,JOVIPE S.A.,GASOLINERAS,COCHE
52902,77,2011-10-05,24,13,89,18,FARMACIA JUAN LA CALLE,FARMACIAS,SALUD
68689,50,2007-03-19,20,16,2,95,AUTOPISTAS DE NAVARRA S.A.,AUTOPISTAS (TERMINALES),COCHE
8829,6,2006-01-07,10,10,78,54,CEDIPSA 17786-1 GUADARRAMA,GASOLINERAS,COCHE
20154,24,2009-04-29,9,17,160,07,CASA BENIGNA,RESTAURANTES RESTO,RESTAURANTE
73040,72,2008-07-20,49,8,600,,CAJEROS AUTOMATICOS,CA$H
45127,66,2008-04-01,53,18,22,2,LUIS LEZAMA BARANANO,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
16237,19,2005-04-11,58,15,246,39,CAFETERIA SAMM,RESTAURANTES RESTO,RESTAURANTE
47428,68,2004-11-17,20,17,56,75,FRANCIS LEFEBVRE S.A.,VENTA DIST.LIBROS,DISCOS,VIDEOS ,CD'S,LIBRERIA
27878,35,2005-11-12,34,16,103,68,TAO LOUNGE,RESTAURANTES RESTO,RESTAURANTE
58362,82,2010-05-05,29,15,25,87,,CHARITABLE AND SOCIAL SERVICES,SOCIAL
29355,39,2010-07-28,40,14,28,79,CAFETERIA GREGORY,S,CAFETERIAS,SNACKS,RESTAURANTE
51835,77,2008-01-10,33,11,85,04,SUPERMERCADOS SANCHEZ ROM,SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS,SUPERMERCADO
699,1,2007-09-13,24,15,18,6,PK VELAZQUEZ JORGE JUAN,GARAJES Y APARCAMIENTOS,COCHE
49308,73,2006-05-30,56,23,31,6,EN BOCA DE GOYA,RESTAURANTES RESTO,RESTAURANTE
16437,19,2006-04-29,34,23,571,38,MARBELLA CLUB HOTEL S.A.,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
21864,26,2011-07-24,16,15,85,COMBARRO,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
70204,11,2010-05-31,2,21,20,VIAJES ECI,EL CORTE INGLES,COMPRA BIENES
17000,20,2005-07-12,40,15,40,E.S. GALAPAGAR,GASOLINERAS,COCHE
47440,68,2004-12-08,46,14,13,94,EL CORTE INGLES S.A.,EL CORTE INGLES,COMPRA BIENES
74237,52,2006-03-12,28,15,57,9,,CONFECCION TEXTIL EN GENERAL,ROPA
49272,73,2006-03-28,5,15,19,VINOS FINOS Y TAPAS FINAS,RESTAURANTES RESTO,RESTAURANTE
73435,72,2010-07-15,28,15,5,34,PARKING GOYA,GARAJES Y APARCAMIENTOS,COCHE
66122,59,2007-03-01,47,14,500,,CAJEROS AUTOMATICOS,CA$H
11315,69,2003-01-05,40,14,55,56,SANXENXO S.A.,RESTAURANTE RESTO NIVEL 4,RESTAURANTE
49416,73,2006-09-07,44,13,10,19,TAPENADE,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
42736,65,2007-10-14,45,10,2150,MUEBLETON, S.L.,MUEBLES,ANTIGUEDADES Y GALERIAS DE ARTE,HOGAR
47692,68,2005-07-31,45,14,13,5,EL CORTE INGLES S.A.,EL CORTE INGLES,COMPRA BIENES
56918,80,2010-01-18,44,14,21,5,CAFETERIA RESTAURANTE PAV,RESTAURANTES RESTO,RESTAURANTE
26638,32,2011-05-08,50,13,24,LOS TORREZNOS S.L.,RESTAURANTES RESTO,RESTAURANTE
27607,35,2003-10-28,52,15,121,58,RESTAURANTE SOLCHAGA,RESTAURANTES RESTO,RESTAURANTE
48475,73,2003-09-18,56,15,48,9,CAFE OLIVER,RESTAURANTES RESTO,RESTAURANTE
20786,26,2005-04-18,52,15,53,HOSTELERIA PAR SL,RESTAURANTES RESTO,RESTAURANTE
24999,30,2009-09-10,6,16,21,39,HERVI,BAZARES, OBJETOS REGALO Y SOUVENIRS,REGALOS
72976,72,2008-02-05,28,15,366,45,,EASYJET,AVION
57862,81,2010-07-21,31,17,22,64,CRUZ BLANCA,CLUBS,SALAS FIESTA,PUBS,DISCOTECAS,BARES,SALIDAS
8368,6,2004-05-27,15,17,141,25,POSADA DE LA VILLA REST,RESTAURANTE RESTO NIVEL 2,RESTAURANTE
62116,28,2008-10-05,55,13,0,,AGENCIAS BANCARIAS(ANTICIPO VENTANILLA),BANCO
33205,44,2007-12-21,48,19,130,5,CARTAPEL,LIBRERIAS, PAPELERIAS Y DISCOS,LIBRERIA
37126,51,2010-06-05,47,13,93,79,RESTAURANTE PORTONOVO,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
65366,74,2007-10-17,43,23,500,,CAJEROS AUTOMATICOS,CA$H
51347,77,2005-07-04,35,16,87,01,E.S. ALMARAZ KM. 200, S.L.,GASOLINERAS,COCHE
37581,56,2004-01-22,24,15,500,TORSTEN Y BERGMAN,CAFETERIAS,SNACKS,RESTAURANTE
26632,32,2011-05-03,45,13,24,LOS TORREZNOS S.L.,RESTAURANTES RESTO,RESTAURANTE
71590,10,2003-10-15,31,15,80,CASLAFLOR,DIRECT MARKETING-CATALOG MERCHANT,DIRECT MARKETING
2803,83,2010-01-27,18,20,49,68,E.S. CONCORDY, S.A.,C.A.M.P.S.A.,COCHE
32288,41,2007-10-18,25,16,98,CASSAC,CONFECCION TEXTIL EN GENERAL,ROPA
51477,77,2006-03-06,59,16,123,5,RESTAURANTE CLUB SOCIAL MONTEC,RESTAURANTES RESTO,RESTAURANTE
35268,49,2003-07-17,54,23,155,8,LA CREAZIONE,RESTAURANTES RESTO,RESTAURANTE
39784,60,2010-05-19,46,21,7,8,TAXI LICENCIA 5882,TAXIS,COCHE
12354,70,2006-03-15,2,17,113,8,RESTAURANTE LA UNION,RESTAURANTES RESTO,RESTAURANTE
42016,65,2005-03-15,23,15,220,COLCHONERIA VILLANUEVA,CONFECCION TEXTIL EN GENERAL,ROPA
57185,80,2010-09-20,54,18,27,5,HERBOLARIO CONCEPCION,HERBOLARIOS, PLANTAS MEDICINALES Y PARAF,SALUD
74614,52,2007-11-08,58,19,31,TICKETMASTER ENTRADAS WEB,ESPECTACULOS Y DEPORTES,SALIDAS
62471,28,2009-12-05,1,0,71,4,RESTAURANTE LA VIEJA,RESTAURANTES RESTO,RESTAURANTE
69037,50,2009-01-02,18,17,103,9,TABACS I LICORS EXPRESS II,JOYERIAS Y RELOJERIAS,COMPRA BIENES LUJO
68720,50,2007-05-09,6,17,500,,CAJEROS AUTOMATICOS,CA$H
11956,70,2003-01-02,41,15,64,98,VIAJES FIESTA,  SA,AGENCIAS DE VIAJES,VIAJE
24855,30,2009-01-16,23,13,12,PELUQUERIA ZAGA,PELUQUERIAS,INSTITUTOS DE BELLEZA Y GIMN,ESTETICA
75593,79,2010-09-12,26,22,144,5,HEVIA RESTAURANTE,RESTAURANTES RESTO,RESTAURANTE
860,1,2008-05-24,31,15,33,25,RESTAURANTE LASAL,RESTAURANTES RESTO,RESTAURANTE
42778,65,2007-12-06,29,12,53,AIREMAR ESTACION DE SERVICIO S,GASOLINERAS,COCHE
49940,73,2007-12-04,36,16,5,8,GRAN CIRCULO DE MADRID (CASINO,CLUBS DEPORTIVOS,DEPORTE
70842,9,2007-04-24,30,15,662,7,,TOURIST ATTRACTIONS AND EXHIBITS,VIAJE
22550,29,2004-04-20,33,15,56,02,EXPLOTACION EST SER SHELL,GASOLINERAS,COCHE
54913,80,2004-08-13,25,16,66,44,RESTAURANTE LA VASCA,RESTAURANTES RESTO,RESTAURANTE
9177,6,2007-01-26,15,16,193,05,ASADOR DE ANGEL,RESTAURANTES RESTO,RESTAURANTE
67009,55,2005-08-08,17,16,209,85,RESTAURANTE EL CAMPER,RESTAURANTES RESTO,RESTAURANTE
66233,59,2007-12-11,39,15,2,29,APARCAMIENTO HOSPITAL RAMON Y,GARAJES,RESTO DE APARCAMIENTOS,COCHE
7062,5,2007-05-16,40,21,57,79,SANTA BARBARA CERVECERIA 2006,CAFETERIAS,SNACKS,RESTAURANTE
55599,80,2006-07-07,32,16,70,08,EL CORRAL DE JOAQUINA,RESTAURANTES RESTO,RESTAURANTE
66331,59,2008-08-23,45,15,26,72,NH LA RESERVA,NH HOTELES,HOTEL
40176,60,2011-09-12,11,16,60,45,MONTEAGUDO HOSTELERIA S.L,RESTAURANTES RESTO,RESTAURANTE
60839,28,2004-05-31,59,16,31,77,0143-CONSUM VERGEL,HIPERMERCADOS (TECNOLOGIA ELECTRONICA),SUPERMERCADO
8528,6,2005-02-09,15,16,239,3,LA CARTA DEL RAST,RESTAURANTES RESTO,RESTAURANTE
338,1,2005-08-16,18,16,90,NH ALMENARA KIOSCO,NH HOTELES,HOTEL
11618,69,2004-11-28,31,15,61,7,ESMOSA,GASOLINERAS,COCHE
21332,26,2008-07-28,15,11,69,69,NESPRESSO,VENTA A DIST.DE PRODUCTOS AL POR MENOR,COMPRA BIENES
24406,30,2007-01-01,14,15,39,09,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
22846,29,2005-06-29,40,15,31,04,JOVIPE SA,GASOLINERAS,COCHE
75567,79,2010-08-22,29,19,22,VIAJES ECI,EL CORTE INGLES,COMPRA BIENES
68826,50,2007-12-03,8,15,2,79,AUTOPISTAS DEL HENARES,AUTOPISTAS (TERMINALES),COCHE
73570,52,2003-01-06,2,14,34,95,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
29721,40,2003-12-06,52,17,20,17,CAFETERIA VIPS BULEVAR,VIPS,MISC
44681,66,2006-10-05,41,21,21,2,CASA MARAVILLAS,RESTAURANTES RESTO,RESTAURANTE
41032,64,2010-06-20,1,20,100,9,FIGON EL BACO,RESTAURANTES RESTO,RESTAURANTE
63415,61,2003-05-05,15,16,114,5,,RESTAURANTES RESTO,RESTAURANTE
33599,44,2009-12-30,41,2,120,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
24977,30,2009-07-25,58,14,7,4,METRO DE MADRID, S.A.,METRO DE MADRID TNA,TREN
6175,4,2011-10-03,35,19,19,JOSE DELGADO ESTILISTAS S.L,PELUQUERIAS,INSTITUTOS DE BELLEZA Y GIMN,ESTETICA
22013,27,2003-07-14,32,15,55,E.E.S.S MONJAS EL PLANTIO,GASOLINERAS,COCHE
42559,65,2007-02-01,44,20,34,4,CEDIPSA BRUNETE,CEPSA,COCHE
55168,80,2005-04-25,47,15,115,4,RESTAURANTE LAS B B B,RESTAURANTES RESTO,RESTAURANTE
27950,35,2006-05-13,32,15,157,5,LA ALBUFERA,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
63798,61,2005-03-28,6,16,92,56,,RESTAURANTES RESTO,RESTAURANTE
3407,4,2005-07-20,32,14,34,9,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
62541,28,2010-03-25,10,20,4320,5,VIAJES ECI,EL CORTE INGLES,COMPRA BIENES
35359,49,2004-09-22,41,16,94,11,EL FOGON DE ZEIN,RESTAURANTES RESTO,RESTAURANTE
71502,10,2003-03-03,12,14,62,09,EL CORTE INGLES,HIPERCOR SUPERMERCADOS EL CORTE INGLES,SUPERMERCADO
50257,73,2008-07-23,15,14,49,ADOLFO DOMINGUEZ, S.A.,ADOLFO DOMINGUEZ,ROPA
65732,59,2003-03-21,5,14,2071,45,MILLAN TRAVEL VIAJES,LINEAS AEREAS,AVION
63052,28,2012-04-05,27,0,343,7,PEIX I BRASES SL,RESTAURANTES RESTO,RESTAURANTE
32749,44,2005-08-31,47,22,60,EST DE SERV LOPEZ HNOS SA,GASOLINERAS,COCHE
34105,42,2003-05-01,58,11,-176,05,PERFUMAIL, S.L.,RECARGA/VTA TARJETA PREPAGO EN COMERCIOS,TELECOM
28660,35,2011-10-02,22,19,127,05,CASTELLANA 179,HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI,HOTEL
69687,11,2005-08-22,26,18,68,9,ZARA MADRID CC DREAMS,GRUPO ZARA,ROPA
57062,80,2010-05-25,18,19,43,5,LA CASA GALLEGA,RESTAURANTES RESTO,RESTAURANTE
47025,68,2003-03-23,30,15,12,19,ENTRADAS.COM,ESPECTACULOS Y DEPORTES,SALIDAS
49162,73,2005-12-21,43,12,112,45,CORONEL TAPIOCA,G.SUPERFICIES DE JUGUETES Y DEPORTES,SUPERMERCADO
7412,5,2008-09-24,23,12,50,DAVID OIL S.L.,GASOLINERAS,COCHE
2623,83,2009-04-09,20,16,385,RESTAURANTE CASA ABELARDO,RESTAURANTES RESTO,RESTAURANTE
5811,4,2010-10-27,55,13,72,36,EL TORREON DE ARMILLA,GASOLINERAS,COCHE
45044,66,2008-01-20,11,17,150,CAMISERIA A MEDIDA,CONFECCION TEXTIL EN GENERAL,ROPA
55275,80,2005-08-21,39,15,8,69,AUT. VASCO ARAGONESA AP68,AUTOPISTAS (TERMINALES),COCHE
20913,26,2006-01-05,7,16,152,REST AINOHA,RESTAURANTES DE 4 Y 5 TENEDORES,RESTAURANTE
67012,55,2005-08-10,52,13,60,9 X 9 SC,JUGUETES, ARTICULOS DEPORTIVOS,COMPRA BIENES
32326,44,2003-03-18,26,14,94,9,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
74429,52,2006-12-20,49,15,363,19,,DIRECT MARKETING-CATALOG MERCHANT,DIRECT MARKETING
19261,23,2008-05-20,45,15,11,75,VINCI PARK PRINCESA,GARAJES Y APARCAMIENTOS,COCHE
74243,52,2006-03-12,28,15,65,81,,RESTAURANTES RESTO,RESTAURANTE
12047,70,2003-07-09,32,15,382,45,VIAJES FIESTA,  SA,AGENCIAS DE VIAJES,VIAJE
73982,52,2005-01-28,41,15,-201,11,IBERIA,LINEAS AEREAS,AVION
38472,58,2011-06-20,6,17,64,51,CEDIPSA 19311 EL PROVENCI,CEPSA,COCHE
32602,44,2004-12-21,37,15,31,14,,TRANSPORTE VIAJEROS ( VIA MARITIMA ),BARCO
123,1,2003-11-15,13,16,295,2,RESTAURANTE ARTURO,RESTAURANTES RESTO,RESTAURANTE
5933,4,2011-02-21,54,12,124,33,FARMACIA MARIO VICENTE-AR,FARMACIAS,SALUD
39244,60,2008-08-04,35,20,35,SEYBE, S.L.,GASOLINERAS,COCHE
70860,9,2007-05-30,14,16,133,14,RESTAURANTE LA QUINTANA,RESTAURANTES RESTO,RESTAURANTE
29378,39,2010-08-23,5,15,28,7,CAFETERIA GREGORY,S,CAFETERIAS,SNACKS,RESTAURANTE
54416,78,2010-01-15,26,15,45,4,,BAZARES, OBJETOS REGALO Y SOUVENIRS,REGALOS
3901,4,2006-11-07,15,16,8,75,EL CORTE INGLES,EL CORTE INGLES,COMPRA BIENES
37568,56,2003-12-19,13,14,62,22,RESTAURANTE PAPPARAZZI,VIPS,MISC
23217,29,2007-02-23,53,17,71,98,PC CITY MAJADAHONDA 2,PC CITY,COMPRA BIENES
20530,26,2003-09-11,14,16,24,AINHOA,RESTAURANTES RESTO,RESTAURANTE
53515,78,2006-07-26,5,16,18,5,EL CORTE INGLES S.A.,EL CORTE INGLES,COMPRA BIENES
57183,80,2010-09-15,6,15,30,MESON RESTAURANTE COCHI-F,CAFETERIAS,SNACKS,RESTAURANTE
35339,49,2004-07-05,25,16,63,NUEVO LEOCADIO,RESTAURANTES RESTO,RESTAURANTE
66235,59,2007-12-23,33,10,500,,CAJEROS AUTOMATICOS,CA$H
10546,8,2011-03-24,13,22,82,19,SUSHI SERRANO,RESTAURANTES RESTO,RESTAURANTE
3630,4,2006-03-24,24,23,55,11,RESTAURANTE VIETNAM,RESTAURANTES RESTO,RESTAURANTE
36884,48,2010-11-03,9,11,66,2,E.S. BP SOMOSAGUAS,GASOLINERAS,COCHE
53144,78,2005-04-17,32,15,8,8,APARCAMIENTO CORTES,GARAJES,RESTO DE APARCAMIENTOS,COCHE
19220,23,2008-03-24,1,14,3,7,AUTOPISTA CONCES.ASTUR-LEONESA,AUTOPISTAS (TERMINALES),COCHE
44528,63,2004-02-28,21,16,58,PINOCCHIO PASTA Y PIZZA,RESTAURANTE RESTO NIVEL 2,RESTAURANTE
11499,69,2004-03-01,16,18,171,19,BODEGAS SIGUERO,SUPERMERCADOS,ULTRAMARINOS, ECONOMATOS,SUPERMERCADO
